model,MAPE,MAE,RMSE,GROUP,type
XGBoost,0.05138238533928334,684.0402506145929,966.7605701665553,CLUSTER_0.0,cluster_base_on_dtw
XGBoost,0.04269983390342267,636.7707795092163,794.5854016055374,CLUSTER_1.0,cluster_base_on_dtw
XGBoost,0.14410537473786073,579.4732943658327,622.1823707059671,CLUSTER_2.0,cluster_base_on_dtw
XGBoost,0.05411447211795174,577.9720238108986,693.3138754851077,CLUSTER_3.0,cluster_base_on_dtw
